type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-06-07T11:10:48.241452932,  28.193557,  84.137445,  -4327, 7979,   7,   2,   0, 2024-06-07T11:10:48.241452932, 2024-06-07T11:10:48.267690420, 0.026237,  28.193557,  28.212075,  84.137445,  84.138420  
 0, 2024-06-07T11:12:24.130254269,  28.214540,  84.146749,  -4160,    0,   6,   1,   1, 2024-06-07T11:12:23.936643362, 2024-06-07T11:12:24.130254269, 0.193611,  28.208410,  28.214540,  84.146749,  84.147468  
 1, 2024-06-07T11:15:16.700661182,  28.222652,  84.160453,  -5845, 5725,   6,   1,   0, 2024-06-07T11:15:16.700661182, 2024-06-07T11:15:16.700661182, 0.000000,  28.222652,  28.222652,  84.160453,  84.160453  
 1, 2024-06-07T11:19:56.840259075,  28.227927,  84.087367,  -9912, 5080,   7,   1,   0, 2024-06-07T11:19:56.840259075, 2024-06-07T11:19:56.840259075, 0.000000,  28.227927,  28.227927,  84.087367,  84.087367  
 0, 2024-06-07T11:22:43.652963877,  28.156838,  84.386901,  -4880,    0,   5,   0,   1, 2024-06-07T11:22:43.652963877, 2024-06-07T11:22:43.652963877, 0.000000,  28.156838,  28.156838,  84.386901,  84.386901  
 1, 2024-06-07T11:28:19.963602543,  28.140834,  84.411008,  -4484, 12810,   5,   1,   0, 2024-06-07T11:28:19.963602543, 2024-06-07T11:28:19.963602543, 0.000000,  28.140834,  28.140834,  84.411008,  84.411008  
 1, 2024-06-07T11:29:31.716633081,  28.223721,  84.133482,   3877, 19284,   6,   1,   0, 2024-06-07T11:29:31.716633081, 2024-06-07T11:29:31.716633081, 0.000000,  28.223721,  28.223721,  84.133482,  84.133482  
 0, 2024-06-07T11:30:21.970785618,  28.237848,  84.173456,  -6535,    0,   7,   0,   1, 2024-06-07T11:30:21.970785618, 2024-06-07T11:30:21.970785618, 0.000000,  28.237848,  28.237848,  84.173456,  84.173456  
 1, 2024-06-07T11:32:25.133688688,  28.202047,  84.139459,   3771, 19676,   6,   1,   0, 2024-06-07T11:32:25.133688688, 2024-06-07T11:32:25.133688688, 0.000000,  28.202047,  28.202047,  84.139459,  84.139459  
 0, 2024-06-07T11:33:26.339963198,  28.232677,  84.175475, -16107,    0,   9,   0,   3, 2024-06-07T11:33:26.281983614, 2024-06-07T11:33:26.421286821, 0.139303,  28.232677,  28.247780,  84.175475,  84.179188  
 0, 2024-06-07T11:34:17.737793446,  28.248641,  84.184465, -16545,    0,   9,   0,   4, 2024-06-07T11:34:17.641970634, 2024-06-07T11:34:17.866812229, 0.224842,  28.238923,  28.249111,  84.167037,  84.187629  
 1, 2024-06-07T11:34:19.825843334,  28.317599,  83.620968,  -9375, 19380,   7,   1,   0, 2024-06-07T11:34:19.825843334, 2024-06-07T11:34:19.825843334, 0.000000,  28.317599,  28.317599,  83.620968,  83.620968  
 1, 2024-06-07T11:34:43.887501240,  28.321877,  83.608252,  -4617, 18787,   6,   1,   0, 2024-06-07T11:34:43.887501240, 2024-06-07T11:34:43.887501240, 0.000000,  28.321877,  28.321877,  83.608252,  83.608252  
 0, 2024-06-07T11:36:44.080061913,  28.235863,  84.177557, -11636,    0,   8,   1,   2, 2024-06-07T11:36:44.068020582, 2024-06-07T11:36:44.135370493, 0.067350,  28.186321,  28.235863,  84.177557,  84.184226  
 1, 2024-06-07T11:37:19.004317045,  28.308839,  83.633916,   9569, 11656,   6,   1,   0, 2024-06-07T11:37:19.004317045, 2024-06-07T11:37:19.004317045, 0.000000,  28.308839,  28.308839,  83.633916,  83.633916  
 1, 2024-06-07T11:44:36.442484856,  28.260445,  84.213666,   3724, 5799,   5,   1,   0, 2024-06-07T11:44:36.442484856, 2024-06-07T11:44:36.442484856, 0.000000,  28.260445,  28.260445,  84.213666,  84.213666  
 1, 2024-06-07T11:56:52.176573753,  28.099837,  84.319722,   4048, 3000,   7,   1,   0, 2024-06-07T11:56:52.176573753, 2024-06-07T11:56:52.176573753, 0.000000,  28.099837,  28.099837,  84.319722,  84.319722  
 1, 2024-06-07T11:56:52.181605339,  28.218946,  84.275640,   3567, 7380,   6,   1,   0, 2024-06-07T11:56:52.181605339, 2024-06-07T11:56:52.181605339, 0.000000,  28.218946,  28.218946,  84.275640,  84.275640  
 1, 2024-06-07T11:59:28.767621040,  28.216254,  84.269236,   4127, 6951,   7,   2,   0, 2024-06-07T11:59:28.764930964, 2024-06-07T11:59:28.767621040, 0.002690,  28.209966,  28.216254,  84.261190,  84.269236  
 1, 2024-06-07T12:08:26.261133194,  28.236591,  84.058071,   5712, 18435,   6,   1,   0, 2024-06-07T12:08:26.261133194, 2024-06-07T12:08:26.261133194, 0.000000,  28.236591,  28.236591,  84.058071,  84.058071  
 1, 2024-06-07T12:14:23.467710972,  28.176406,  84.027815,  -2620, 5603,   5,   1,   0, 2024-06-07T12:14:23.467710972, 2024-06-07T12:14:23.467710972, 0.000000,  28.176406,  28.176406,  84.027815,  84.027815  
 1, 2024-06-07T21:07:23.939371824,  27.766713,  85.263433,  -2970, 18486,   5,   2,   0, 2024-06-07T21:07:23.929095745, 2024-06-07T21:07:23.939371824, 0.010276,  27.756328,  27.766713,  85.261854,  85.263433  
 1, 2024-06-07T21:13:28.371198654,  27.805031,  85.248397,   3250, 17712,   5,   1,   0, 2024-06-07T21:13:28.371198654, 2024-06-07T21:13:28.371198654, 0.000000,  27.805031,  27.805031,  85.248397,  85.248397  
 1, 2024-06-07T21:15:33.478887320,  27.688642,  85.276930, -10544, 14596,   8,   1,   0, 2024-06-07T21:15:33.478887320, 2024-06-07T21:15:33.478887320, 0.000000,  27.688642,  27.688642,  85.276930,  85.276930  
 1, 2024-06-07T21:15:33.448642969,  27.783960,  85.305537,  -3347, 19378,   5,   1,   0, 2024-06-07T21:15:33.448642969, 2024-06-07T21:15:33.448642969, 0.000000,  27.783960,  27.783960,  85.305537,  85.305537  
 1, 2024-06-07T21:22:15.296198368,  27.790643,  85.268811,  -3605, 18088,   5,   1,   0, 2024-06-07T21:22:15.296198368, 2024-06-07T21:22:15.296198368, 0.000000,  27.790643,  27.790643,  85.268811,  85.268811  
